Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kanton;E;N;Sprache;Validity;Bezirks-nummer;Bezirksname;Einwohner;Einwohnerdichte;Fahrraddiebstahl_pro1000Einwohner
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;8.487911354;47.26870659;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.493639301;47.28270771;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.433816382;47.28957191;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.45439239;47.27879102;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Bonstetten;8906;0;Bonstetten;3;ZH;8.462510333;47.31603645;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Sihlbrugg;6340;4;Hausen am Albis;4;ZH;8.575263285;47.221161;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Langnau am Albis;8135;0;Hausen am Albis;4;ZH;8.522602733;47.26616249;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.533080372;47.24868312;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.553387817;47.22790944;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Hedingen;8908;0;Hedingen;5;ZH;8.450402732;47.3023383;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.518401273;47.22850465;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.494435214;47.23254735;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499050492;47.21811361;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Knonau;8934;0;Knonau;7;ZH;8.463070514;47.22429179;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Maschwanden;8933;0;Maschwanden;8;ZH;8.430865808;47.23566581;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.466212301;47.24873641;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Affoltern am Albis;8910;0;Obfelden;10;ZH;8.438566231;47.27137607;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Obfelden;8912;0;Obfelden;10;ZH;8.422386634;47.26039752;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Ottenbach;8913;0;Ottenbach;11;ZH;8.40857484;47.28107503;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Rifferswil;8911;0;Rifferswil;12;ZH;8.49488718;47.24550057;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Adliswil;8134;0;Stallikon;13;ZH;8.505877599;47.31210529;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Stallikon;8143;0;Stallikon;13;ZH;8.489620691;47.32971316;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Uetliberg;8143;2;Stallikon;13;ZH;8.49173569;47.34851184;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Wettswil;8907;0;Wettswil am Albis;14;ZH;8.470612515;47.3374022;de;01.07.2008;101;Affoltern;57801;511.4;1.51
Benken ZH;8463;0;Benken (ZH);22;ZH;8.654666544;47.65377796;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Berg am Irchel;8415;0;Berg am Irchel;23;ZH;8.585741053;47.56297525;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Graeslikon;8415;1;Berg am Irchel;23;ZH;8.605113275;47.55600242;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Buch am Irchel;8414;0;Buch am Irchel;24;ZH;8.625154489;47.55047881;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Dachsen;8447;0;Dachsen;25;ZH;8.624375293;47.66174994;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Dorf;8458;0;Dorf;26;ZH;8.649329748;47.57127196;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Feuerthalen;8245;0;Feuerthalen;27;ZH;8.64416602;47.68902348;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Langwiesen;8246;0;Feuerthalen;27;ZH;8.662656729;47.68335284;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Flaach;8416;0;Flaach;28;ZH;8.601940328;47.583402;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Flurlingen;8247;0;Flurlingen;29;ZH;8.635510083;47.68360383;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Henggart;8444;0;Henggart;31;ZH;8.680830542;47.56038766;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Kleinandelfingen;8451;0;Kleinandelfingen;33;ZH;8.684949095;47.60679239;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Alten;8453;0;Kleinandelfingen;33;ZH;8.640865573;47.59690262;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Oerlingen;8461;0;Kleinandelfingen;33;ZH;8.677585177;47.62323023;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Nohl;8212;4;Laufen-Uhwiesen;34;ZH;8.610294829;47.66327006;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Uhwiesen;8248;0;Laufen-Uhwiesen;34;ZH;8.65016937;47.66931256;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Dachsen;8447;0;Laufen-Uhwiesen;34;ZH;8.61374192;47.67559684;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Marthalen;8460;0;Marthalen;35;ZH;8.638588344;47.61833178;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Ellikon am Rhein;8464;0;Marthalen;35;ZH;8.6060112;47.60219071;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Truellikon;8466;0;Ossingen;37;ZH;8.689871286;47.62522372;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Ossingen;8475;0;Ossingen;37;ZH;8.721858087;47.61132641;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Rheinau;8462;0;Rheinau;38;ZH;8.618020226;47.62764126;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Ellikon am Rhein;8464;0;Rheinau;38;ZH;8.608697131;47.60357982;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Thalheim an der Thur;8478;0;Thalheim an der Thur;39;ZH;8.745260537;47.58200511;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Rudolfingen;8465;0;Truellikon;40;ZH;8.67126389;47.63812496;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Wildensbuch;8465;1;Truellikon;40;ZH;8.679796274;47.65096027;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Truellikon;8466;0;Truellikon;40;ZH;8.700218444;47.63630001;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Truttikon;8467;0;Truttikon;41;ZH;8.729610675;47.63240407;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Volken;8459;0;Volken;43;ZH;8.631466248;47.5766261;de;01.07.2008;102;Andelfingen;32732;196.5;2.51
Buelach;8180;0;Bachenbuelach;51;ZH;8.56442171;47.51030825;de;01.07.2008;103;Buelach;164131;887.8;2.21
Bachenbuelach;8184;0;Bachenbuelach;51;ZH;8.545321773;47.50111302;de;01.07.2008;103;Buelach;164131;887.8;2.21
Bassersdorf;8303;0;Bassersdorf;52;ZH;8.625925501;47.4402101;de;01.07.2008;103;Buelach;164131;887.8;2.21
Buelach;8180;0;Buelach;53;ZH;8.545629419;47.53066414;de;01.07.2008;103;Buelach;164131;887.8;2.21
Glattfelden;8192;0;Buelach;53;ZH;8.524550192;47.54902721;de;01.07.2008;103;Buelach;164131;887.8;2.21
Dietlikon;8305;0;Dietlikon;54;ZH;8.612448141;47.42487909;de;01.07.2008;103;Buelach;164131;887.8;2.21
Duebendorf;8600;0;Dietlikon;54;ZH;8.624613635;47.40826694;de;01.07.2008;103;Buelach;164131;887.8;2.21
Eglisau;8193;0;Eglisau;55;ZH;8.52304829;47.57234106;de;01.07.2008;103;Buelach;164131;887.8;2.21
Rafz;8197;0;Eglisau;55;ZH;8.541636228;47.59116463;de;01.07.2008;103;Buelach;164131;887.8;2.21
Embrach;8424;0;Embrach;56;ZH;8.599599424;47.51005354;de;01.07.2008;103;Buelach;164131;887.8;2.21
Freienstein;8427;2;Freienstein-Teufen;57;ZH;8.596010574;47.53250054;de;01.07.2008;103;Buelach;164131;887.8;2.21
Teufen ZH;8428;0;Freienstein-Teufen;57;ZH;8.573868113;47.55154164;de;01.07.2008;103;Buelach;164131;887.8;2.21
Glattfelden;8192;0;Glattfelden;58;ZH;8.502318141;47.55537025;de;01.07.2008;103;Buelach;164131;887.8;2.21
Zweidlen;8192;1;Glattfelden;58;ZH;8.475132509;47.56865757;de;01.07.2008;103;Buelach;164131;887.8;2.21
Eglisau;8193;0;Glattfelden;58;ZH;8.495676836;47.57888386;de;01.07.2008;103;Buelach;164131;887.8;2.21
Hochfelden;8182;0;Hochfelden;59;ZH;8.508463863;47.52803892;de;01.07.2008;103;Buelach;164131;887.8;2.21
Glattfelden;8192;0;Hochfelden;59;ZH;8.499386932;47.53939418;de;01.07.2008;103;Buelach;164131;887.8;2.21
Hoeri;8181;0;Hoeri;60;ZH;8.500889988;47.50803664;de;01.07.2008;103;Buelach;164131;887.8;2.21
Huentwangen;8194;0;Huentwangen;61;ZH;8.498233472;47.59304236;de;01.07.2008;103;Buelach;164131;887.8;2.21
Kloten;8302;0;Kloten;62;ZH;8.582091156;47.45875672;de;01.07.2008;103;Buelach;164131;887.8;2.21
Nuerensdorf;8309;0;Kloten;62;ZH;8.626374801;47.46300841;de;01.07.2008;103;Buelach;164131;887.8;2.21
Lufingen;8426;0;Lufingen;63;ZH;8.594760719;47.48180331;de;01.07.2008;103;Buelach;164131;887.8;2.21
Nuerensdorf;8309;0;Nuerensdorf;64;ZH;8.651219194;47.45497197;de;01.07.2008;103;Buelach;164131;887.8;2.21
Oberembrach;8425;0;Oberembrach;65;ZH;8.633535286;47.48957277;de;01.07.2008;103;Buelach;164131;887.8;2.21
Zuerich;8052;0;Opfikon;66;ZH;8.562018474;47.41744129;de;01.07.2008;103;Buelach;164131;887.8;2.21
Glattbrugg;8152;0;Opfikon;66;ZH;8.562290913;47.43257737;de;01.07.2008;103;Buelach;164131;887.8;2.21
Opfikon;8152;1;Opfikon;66;ZH;8.582781547;47.42950745;de;01.07.2008;103;Buelach;164131;887.8;2.21
Glattpark (Opfikon);8152;2;Opfikon;66;ZH;8.563608837;47.42083458;de;01.07.2008;103;Buelach;164131;887.8;2.21
Rafz;8197;0;Rafz;67;ZH;8.544794369;47.60824872;de;01.07.2008;103;Buelach;164131;887.8;2.21
Rorbas;8427;3;Rorbas;68;ZH;8.569017301;47.53234251;de;01.07.2008;103;Buelach;164131;887.8;2.21
Teufen ZH;8428;0;Rorbas;68;ZH;8.569678539;47.54321157;de;01.07.2008;103;Buelach;164131;887.8;2.21
Wallisellen;8304;0;Wallisellen;69;ZH;8.596275289;47.42120836;de;01.07.2008;103;Buelach;164131;887.8;2.21
Wasterkingen;8195;0;Wasterkingen;70;ZH;8.471969518;47.59653371;de;01.07.2008;103;Buelach;164131;887.8;2.21
Wil ZH;8196;0;Wasterkingen;70;ZH;8.477909005;47.6103184;de;01.07.2008;103;Buelach;164131;887.8;2.21
Wil ZH;8196;0;Wil (ZH);71;ZH;8.501493934;47.61217952;de;01.07.2008;103;Buelach;164131;887.8;2.21
Rafz;8197;0;Wil (ZH);71;ZH;8.536014126;47.59272753;de;01.07.2008;103;Buelach;164131;887.8;2.21
Buelach;8180;0;Winkel;72;ZH;8.567960555;47.50703317;de;01.07.2008;103;Buelach;164131;887.8;2.21
Winkel;8185;0;Winkel;72;ZH;8.558279067;47.48206541;de;01.07.2008;103;Buelach;164131;887.8;2.21
Bachs;8164;0;Bachs;81;ZH;8.425734543;47.52876406;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Boppelsen;8113;0;Boppelsen;82;ZH;8.407193997;47.46994361;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Regensberg;8158;0;Boppelsen;82;ZH;8.402681007;47.48150123;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Buchs ZH;8107;0;Buchs (ZH);83;ZH;8.440635795;47.45866674;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Daellikon;8108;0;Daellikon;84;ZH;8.432374752;47.43900371;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Daenikon ZH;8114;0;Daenikon;85;ZH;8.40472268;47.4443546;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Dielsdorf;8157;0;Dielsdorf;86;ZH;8.455192104;47.47563224;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Huettikon;8115;0;Huettikon;87;ZH;8.392296033;47.44110168;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Steinmaur;8162;0;Neerach;88;ZH;8.456907337;47.5108346;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Bachs;8164;0;Neerach;88;ZH;8.461177225;47.51386685;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Neerach;8173;0;Neerach;88;ZH;8.475461452;47.50650239;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Stadel b. Niederglatt;8174;0;Neerach;88;ZH;8.473982407;47.52090895;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Niederhasli;8155;0;Niederglatt;89;ZH;8.480345882;47.49126852;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Niederglatt ZH;8172;0;Niederglatt;89;ZH;8.500823099;47.49192981;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Niederhasli;8155;0;Niederhasli;90;ZH;8.486615494;47.47667576;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Nassenwil;8155;1;Niederhasli;90;ZH;8.471016354;47.46745304;de;01.11.2012;104;Dielsdorf;95157;622.6;1.26
Oberhasli;8156;0;Niederhasli;90;ZH;8.499283664;47.46063588;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Niederweningen;8166;0;Niederweningen;91;ZH;8.374606055;47.49688959;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Oberglatt ZH;8154;0;Oberglatt;92;ZH;8.524915084;47.48036222;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Siglistorf;5462;0;Oberweningen;93;ZH;8.400753677;47.52759893;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Oberweningen;8165;2;Oberweningen;93;ZH;8.405782409;47.50402397;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Buchs ZH;8107;0;Otelfingen;94;ZH;8.413565968;47.45559055;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Otelfingen;8112;0;Otelfingen;94;ZH;8.384998355;47.46575051;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Regensberg;8158;0;Regensberg;95;ZH;8.422876431;47.47567206;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Regensdorf;8105;0;Regensdorf;96;ZH;8.465826286;47.43193792;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Watt;8105;2;Regensdorf;96;ZH;8.485664013;47.44423327;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Adlikon b. Regensdorf;8106;2;Regensdorf;96;ZH;8.459002805;47.45240177;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Zuerich;8052;0;Ruemlang;97;ZH;8.540725263;47.43260378;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Glattbrugg;8152;0;Ruemlang;97;ZH;8.554663155;47.43353876;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Ruemlang;8153;0;Ruemlang;97;ZH;8.528301568;47.44846392;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Schleinikon;8165;3;Schleinikon;98;ZH;8.391127268;47.49436024;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Schoefflisdorf;8165;0;Schoefflisdorf;99;ZH;8.420413813;47.49958239;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Stadel b. Niederglatt;8174;0;Stadel;100;ZH;8.469859657;47.52699117;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Windlach;8175;0;Stadel;100;ZH;8.474257206;47.54779584;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Niederhasli;8155;0;Steinmaur;101;ZH;8.474590065;47.49139222;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Steinmaur;8162;0;Steinmaur;101;ZH;8.446954293;47.49956675;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Suenikon;8162;1;Steinmaur;101;ZH;8.42714275;47.48805705;de;01.05.2011;104;Dielsdorf;95157;622.6;1.26
Weiach;8187;0;Weiach;102;ZH;8.441509116;47.55351887;de;01.07.2008;104;Dielsdorf;95157;622.6;1.26
Hinwil;8340;0;Baeretswil;111;ZH;8.851503983;47.32318064;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Baeretswil;8344;0;Baeretswil;111;ZH;8.873942049;47.33611832;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Adetswil;8345;0;Baeretswil;111;ZH;8.836701805;47.34256414;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Gibswil;8498;0;Baeretswil;111;ZH;8.908900149;47.32025133;de;01.05.2012;105;Hinwil;100857;561.9;1.48
Bubikon;8608;0;Bubikon;112;ZH;8.810813149;47.27466398;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Wolfhausen;8633;0;Bubikon;112;ZH;8.79803138;47.25843501;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Hinwil;8340;0;Duernten;113;ZH;8.851012313;47.28391406;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Bubikon;8608;0;Duernten;113;ZH;8.829948397;47.26750411;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Rueti ZH;8630;0;Duernten;113;ZH;8.854275815;47.26384865;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Tann;8632;0;Duernten;113;ZH;8.849182802;47.26823205;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Duernten;8635;0;Duernten;113;ZH;8.873968872;47.27489947;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Wald ZH;8636;0;Duernten;113;ZH;8.890258641;47.27117978;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Hinwil;8340;0;Fischenthal;114;ZH;8.891286317;47.3146351;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Bauma;8494;0;Fischenthal;114;ZH;8.921140613;47.35968875;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Steg im Toesstal;8496;0;Fischenthal;114;ZH;8.946241428;47.34409484;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Fischenthal;8497;0;Fischenthal;114;ZH;8.925077252;47.33286699;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Gibswil;8498;0;Fischenthal;114;ZH;8.906843198;47.31621917;de;01.05.2012;105;Hinwil;100857;561.9;1.48
Bertschikon (Gossau ZH);8614;0;Gossau (ZH);115;ZH;8.757023394;47.32078089;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Moenchaltorf;8617;0;Gossau (ZH);115;ZH;8.73557492;47.30959554;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Gruet (Gossau ZH);8624;0;Gossau (ZH);115;ZH;8.782125461;47.30854394;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Gossau ZH;8625;0;Gossau (ZH);115;ZH;8.757683985;47.30410472;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Ottikon (Gossau ZH);8626;0;Gossau (ZH);115;ZH;8.786015602;47.28934345;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Grueningen;8627;0;Gossau (ZH);115;ZH;8.737011618;47.28855163;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Grueningen;8627;0;Grueningen;116;ZH;8.762113624;47.27876515;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Hinwil;8340;0;Hinwil;117;ZH;8.850426003;47.30291402;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Wernetshausen;8342;0;Hinwil;117;ZH;8.877708773;47.2905896;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Gibswil;8498;0;Hinwil;117;ZH;8.89861953;47.30871243;de;01.05.2012;105;Hinwil;100857;561.9;1.48
Rueti ZH;8630;0;Rueti (ZH);118;ZH;8.860706043;47.2580509;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Wald ZH;8636;0;Rueti (ZH);118;ZH;8.903738128;47.26770493;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Aathal-Seegraeben;8607;0;Seegraeben;119;ZH;8.767359557;47.34309567;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Fischenthal;8497;0;Wald (ZH);120;ZH;8.932103897;47.31406671;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Wald ZH;8636;0;Wald (ZH);120;ZH;8.925873208;47.28343104;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Laupen ZH;8637;0;Wald (ZH);120;ZH;8.929785028;47.26684415;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Adetswil;8345;0;Wetzikon (ZH);121;ZH;8.830090606;47.33480864;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Wetzikon ZH;8620;0;Wetzikon (ZH);121;ZH;8.807465557;47.31917077;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Wetzikon ZH;8623;0;Wetzikon (ZH);121;ZH;8.821414807;47.3321701;de;01.07.2008;105;Hinwil;100857;561.9;1.48
Zuerich;8041;0;Adliswil;131;ZH;8.513269872;47.32233637;de;01.07.2008;106;Horgen;131202;1258.7;1.25
Adliswil;8134;0;Adliswil;131;ZH;8.521857425;47.30790947;de;01.07.2008;106;Horgen;131202;1258.7;1.25
Kilchberg ZH;8802;0;Kilchberg (ZH);135;ZH;8.545314271;47.32158525;de;01.07.2008;106;Horgen;131202;1258.7;1.25
Rueschlikon;8803;0;Kilchberg (ZH);135;ZH;8.554338796;47.31546233;de;01.07.2008;106;Horgen;131202;1258.7;1.25
Langnau am Albis;8135;0;Langnau am Albis;136;ZH;8.538851419;47.27587941;de;01.07.2008;106;Horgen;131202;1258.7;1.25
Oberrieden;8942;0;Oberrieden;137;ZH;8.569209485;47.27285335;de;01.07.2008;106;Horgen;131202;1258.7;1.25
Richterswil;8805;0;Richterswil;138;ZH;8.695921441;47.20812145;de;01.07.2008;106;Horgen;131202;1258.7;1.25
Samstagern;8833;0;Richterswil;138;ZH;8.679482062;47.19379005;de;01.07.2008;106;Horgen;131202;1258.7;1.25
Rueschlikon;8803;0;Rueschlikon;139;ZH;8.547617515;47.30461451;de;01.07.2008;106;Horgen;131202;1258.7;1.25
Gattikon;8136;0;Thalwil;141;ZH;8.553091141;47.27821877;de;01.07.2008;106;Horgen;131202;1258.7;1.25
Thalwil;8800;0;Thalwil;141;ZH;8.563761624;47.28873242;de;01.07.2008;106;Horgen;131202;1258.7;1.25
Erlenbach ZH;8703;0;Erlenbach (ZH);151;ZH;8.599185224;47.30399176;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Erlenbach ZH;8703;0;Herrliberg;152;ZH;8.604055719;47.29369122;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Herrliberg;8704;0;Herrliberg;152;ZH;8.629232099;47.29678537;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Grueningen;8627;0;Hombrechtikon;153;ZH;8.778993973;47.26494968;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Hombrechtikon;8634;0;Hombrechtikon;153;ZH;8.76586094;47.25518904;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Feldbach;8714;0;Hombrechtikon;153;ZH;8.785545257;47.2416317;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Forch;8127;0;Kuesnacht (ZH);154;ZH;8.648898967;47.32237372;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Kuesnacht ZH;8700;0;Kuesnacht (ZH);154;ZH;8.596214108;47.32144721;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Oetwil am See;8618;0;Maennedorf;155;ZH;8.712196092;47.26563669;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Maennedorf;8708;0;Maennedorf;155;ZH;8.696781922;47.26118103;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Meilen;8706;0;Meilen;156;ZH;8.646048604;47.28145988;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Oetwil am See;8618;0;Oetwil am See;157;ZH;8.718220715;47.27459687;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Hombrechtikon;8634;0;Staefa;158;ZH;8.755556678;47.2428822;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Staefa;8712;0;Staefa;158;ZH;8.728813215;47.24925618;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Uerikon;8713;0;Staefa;158;ZH;8.75745798;47.23790288;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Uetikon am See;8707;0;Uetikon am See;159;ZH;8.682268675;47.27120321;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Zumikon;8126;0;Zumikon;160;ZH;8.625842114;47.33589626;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Zollikerberg;8125;0;Zollikon;161;ZH;8.608221655;47.34465243;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Zollikon;8702;0;Zollikon;161;ZH;8.580677364;47.34154943;de;01.07.2008;107;Meilen;108710;1284.7;1.37
Illnau;8308;0;Fehraltorf;172;ZH;8.747317006;47.40428324;de;01.07.2008;108;Pfaeffikon;63033;386.3;1.87
Fehraltorf;8320;0;Fehraltorf;172;ZH;8.750521187;47.38740527;de;01.07.2008;108;Pfaeffikon;63033;386.3;1.87
Hittnau;8335;0;Hittnau;173;ZH;8.829818323;47.36722786;de;01.07.2008;108;Pfaeffikon;63033;386.3;1.87
Kemptthal;8310;0;Lindau;176;ZH;8.703725885;47.44887298;de;01.07.2008;108;Pfaeffikon;63033;386.3;1.87
Grafstal;8310;1;Lindau;176;ZH;8.697431278;47.4442863;de;01.07.2008;108;Pfaeffikon;63033;386.3;1.87
Winterberg ZH;8312;0;Lindau;176;ZH;8.690739155;47.45711103;de;01.07.2008;108;Pfaeffikon;63033;386.3;1.87
Lindau;8315;0;Lindau;176;ZH;8.677375466;47.44362865;de;01.07.2008;108;Pfaeffikon;63033;386.3;1.87
Tagelswangen;8317;0;Lindau;176;ZH;8.66900915;47.42676066;de;01.07.2008;108;Pfaeffikon;63033;386.3;1.87
Pfaeffikon ZH;8330;0;Pfaeffikon;177;ZH;8.796360149;47.36690541;de;01.07.2008;108;Pfaeffikon;63033;386.3;1.87
Auslikon;8331;0;Pfaeffikon;177;ZH;8.809399317;47.34639779;de;01.07.2008;108;Pfaeffikon;63033;386.3;1.87
Wetzikon ZH;8623;0;Pfaeffikon;177;ZH;8.815556157;47.33816854;de;01.07.2008;108;Pfaeffikon;63033;386.3;1.87
Madetswil;8322;0;Russikon;178;ZH;8.793747218;47.41220572;de;01.07.2008;108;Pfaeffikon;63033;386.3;1.87
Guendisau;8322;2;Russikon;178;ZH;8.805382075;47.39830675;de;01.05.2011;108;Pfaeffikon;63033;386.3;1.87
Russikon;8332;0;Russikon;178;ZH;8.783096174;47.39531415;de;01.07.2008;108;Pfaeffikon;63033;386.3;1.87
Rumlikon;8332;2;Russikon;178;ZH;8.76181947;47.40836875;de;01.05.2011;108;Pfaeffikon;63033;386.3;1.87
